src_ip,dst_ip,rtt
192.168.182.221,130.211.33.34,0.002016
192.168.182.221,130.211.33.34,0.000140
192.168.182.221,130.211.33.34,0.000139
192.168.182.221,130.211.33.34,0.09154
192.168.182.221,138.113.182.113,0.060267
192.168.182.221,138.113.182.113,0.001497
192.168.182.221,138.113.182.113,0.120916
192.168.182.221,138.113.182.113,0.000627
192.168.182.221,138.113.182.113,0.002972
192.168.182.221,138.113.182.113,0.000883
192.168.182.221,138.113.182.113,0.000567
192.168.182.221,138.113.182.113,0.103610
192.168.182.221,138.113.182.113,0.001342
192.168.182.221,138.113.182.113,0.311465
192.168.182.221,138.113.182.113,0.045438
192.168.182.221,138.113.182.113,0.089210
192.168.182.221,138.113.182.113,0.088286
192.168.182.221,138.113.182.113,0.000775
192.168.182.221,138.113.182.113,0.089221
192.168.182.221,138.113.182.113,0.030335
192.168.182.221,138.113.182.113,0.001112
192.168.182.221,138.113.182.113,0.000659
192.168.182.221,138.113.182.113,0.000694
192.168.182.221,138.113.182.113,0.000267
192.168.182.221,138.113.182.113,0.000093
192.168.182.221,138.113.182.113,0.000105
192.168.182.221,138.113.182.113,0.000144
192.168.182.221,138.113.182.113,0.000134
192.168.182.221,138.113.182.113,0.000137
192.168.182.221,138.113.182.113,0.000158
192.168.182.221,138.113.182.113,0.000166
192.168.182.221,138.113.182.113,0.148224
192.168.182.221,138.113.182.113,0.020342
192.168.182.221,138.113.182.113,0.024707
192.168.182.221,138.113.182.113,0.005119
192.168.182.221,138.113.182.113,0.005414
192.168.182.221,138.113.182.113,0.310334
192.168.182.221,138.113.182.113,0.039684
192.168.182.221,138.113.182.113,0.334624
192.168.182.221,138.113.182.113,0.000451
192.168.182.221,138.113.182.113,0.003152
192.168.182.221,138.113.182.113,0.000395
192.168.182.221,138.113.182.113,0.520486
192.168.182.221,138.113.182.113,0.120073
192.168.182.221,138.113.182.113,0.133152
192.168.182.221,138.113.182.113,0.303592
192.168.182.221,138.113.182.113,0.000450
192.168.182.221,138.113.182.113,0.152696
192.168.182.221,138.113.182.113,0.019645
192.168.182.221,138.113.182.113,0.668947
192.168.182.221,138.113.182.113,0.162937
192.168.182.221,138.113.182.113,0.047970
192.168.182.221,138.113.182.113,0.001953
192.168.182.221,138.113.182.113,9.263834
192.168.182.221,138.113.182.113,0.000660
192.168.182.221,138.113.182.113,0.190933
